Date,Category,Fund,Amount,Note
2016-11-01,Utilities,Water,66.89,Water
2016-11-01,Food,Restaurants,12.01,Marcos Pizza
2016-11-02,Food,Restaurants,3.9,Wendys
2016-11-03,Food,Groceries,73.79,ALDI
2016-11-03,Recreational,Entertainment,23.7,Fandango - Dr Strange
2016-11-04,Food,Restaurants,26.14,Hibachi Grill
2016-11-06,Housing,Down Payment,431.08,Amazon Desks
2016-11-06,Housing,First Mortgage / Rent,877,Rent
2016-11-06,Recreational,Entertainment,13.99,Wynnsong 16 - Carmike ICEE and Popcorn
2016-11-07,Utilities,Electricity,69.46,KUB - Electricity
2016-11-07,Food,Restaurants,7.19,Pilot
2016-11-07,Food,Groceries,15.64,Sams Club - Burgers
2016-11-07,Food,Groceries,2.49,Sams Club - ICEE and Ice Cream
2016-11-07,Personal,Pocket Money (Hers),6.53,Walmart - Watch Battery
2016-11-07,Food,Groceries,29.02,Walmart - Groceries ?
2016-11-07,Personal,Toiletries,3,Walmart - Bleach Cleaner
2016-11-07,Transportation,Gas & Oil,20.19,Sams Gas
2016-11-07,Food,Restaurants,20,Pelanchos
2016-11-12,Food,Groceries,8.47,Walmart
2016-11-12,Personal,Pet Supplies,13,Walmart - Cat Litter
2016-11-13,Food,Restaurants,16.41,Pelanchos
2016-11-14,Transportation,Gas & Oil,20.9,Pilot
2016-11-14,Clothing,Jamie,27.29,TJMAXX
2016-11-14,Clothing,Jamie,23.21,Lucky Brand
2016-11-14,Food,Restaurants,12.43,Waffle House
2016-11-16,Food,Restaurants,7,Mexican - With Michael
2016-11-17,Food,Restaurants,24,Zaxbys
2016-11-17,Food,Restaurants,10.91,Zaxbys
2016-11-17,Food,Restaurants,-7.09,Zaxbys
2016-11-17,Food,Restaurants,-7.09,Zaxbys
2016-11-18,Personal,Gifts (Including Christmas),95.2,BellaBeat
2016-11-18,Food,Groceries,33.13,Walmart
2016-11-20,Personal,Gifts (Including Christmas),8.88,Amazon
2016-11-21,Food,Groceries,8.52,Walmart
2016-11-21,Debts,2014 Kia Soul,"2,477.57",2014 Kia Soul
2016-11-21,Food,Groceries,17.8,Walmart
2016-11-21,Food,Restaurants,23.73,Hacienda Degollado
2016-11-21,Food,Restaurants,7.49,Starbucks
2016-11-21,Food,Restaurants,8.89,Fannies Corner Kitchen
2016-11-21,Personal,Gifts (Including Christmas),8.88,Amazon
2016-11-22,Medical / Health,Doctor Bills,35,Tennova Primary Care
2016-11-22,Transportation,Gas & Oil,17.05,Pilot
2016-11-22,Transportation,Gas & Oil,19.14,Sams Club
2016-11-22,Food,Restaurants,8.72,Waffle House
2016-11-22,Medical / Health,Medications,30,Kroger Pharmacy
2016-11-22,Personal,Gifts (Including Christmas),9.48,Amazon
2016-11-23,Food,Restaurants,10.68,McDonalds
2016-11-23,Medical / Health,Doctor Bills,42,UT Doctor - Darren Shot
2016-11-23,Food,Groceries,70.25,ALDI
2016-11-24,Food,Restaurants,16,Ole Smokey
2016-11-24,Personal,Gifts (Including Christmas),7.19,Amazon
2016-11-25,Personal,Gifts (Including Christmas),6.57,New York and Co
2016-11-25,Clothing,Jamie,13.45,Lucky Brand
2016-11-25,Clothing,Jamie,49.33,Aerie - PJ Pants
2016-11-25,Medical / Health,Medications,3.23,Walmart
2016-11-25,Clothing,Darren,79.56,Banana Republic
2016-11-25,Clothing,Jamie,27.91,Banana Republic
2016-11-25,Food,Restaurants,18.81,Aramark - Campus Buffett
2016-11-25,Food,Restaurants,2.19,McDonalds
2016-11-25,Clothing,Jamie,7.2,Banana Republic
2016-11-25,Clothing,Darren,29.92,Banana Republic
2016-11-25,Clothing,Jamie,20.15,Banana Republic
2016-11-25,Food,Restaurants,26,TGI Fridays
2016-11-25,Recreational,Entertainment,4,Parking
2016-11-25,Personal,Pet Supplies,8.73,Amazon
2016-11-26,Food,Restaurants,36,Olive Garden
2016-11-26,Food,Groceries,1.5,Dr. Pepper
2016-11-26,Personal,Gifts (Including Christmas),15.45,Amazon
2016-11-27,Food,Restaurants,5,Tip
2016-11-27,Personal,Gifts (Including Christmas),12.19,Amazon
2016-11-28,Personal,Gifts (Including Christmas),9.94,Earthbound - Elephant Mug Lauren
2016-11-28,Personal,Books / Supplies,11.78,Quantum Book
2016-11-28,Housing,Down Payment,47.15,Target
2016-11-29,Personal,Books / Supplies,23.44,Book and Expo
2016-11-29,Personal,Gifts (Including Christmas),8.16,Wish
2016-11-30,Personal,Cosmetics / Hair Care,6,Facewash
2016-11-30,Transportation,Gas & Oil,13.17,Kroger
2016-12-01,Food,Groceries,13.68,Walmart
2016-12-02,Housing,First Mortgage / Rent,877,Pinnacle
2016-12-02,Food,Groceries,10.91,Kroger
2016-12-05,Food,Restaurants,1.81,QT - Coffee
2016-12-05,Transportation,Gas & Oil,12.76,QT - Gas in GA
2016-12-05,Food,Restaurants,1.79,QT - Coffee
2016-12-05,Utilities,Internet,5.46,Comcast
2016-12-05,Insurance,Health Insurance,151.21,BCBS
2016-12-05,Food,Groceries,18.56,ALDI
2016-12-06,Personal,Gifts (Including Christmas),3.72,TheGrommet
2016-12-06,Personal,Gifts (Including Christmas),25.1,Amazon
2016-12-06,Medical / Health,Medications,7.48,Amazon
2016-12-06,Personal,Gifts (Including Christmas),34.88,Amazon
2016-12-06,Food,Restaurants,30,Knoxville Ale House
2016-12-06,Utilities,Electricity,66.95,Knox Util Board
2016-12-06,Transportation,Gas & Oil,20.54,Sams Club
2016-12-07,Personal,Gifts (Including Christmas),8.73,TJMAXX
2016-12-07,Food,Groceries,8.58,Kroger
2016-12-08,Personal,Cosmetics / Hair Care,17.65,Salon Centric
2016-12-08,Housing,Down Payment,38.05,Walmart
2016-12-08,Personal,Gifts (Including Christmas),8.5,Amazon
2016-12-09,Utilities,Water,64.86,West Knox Utility District
2016-12-09,Transportation,Gas & Oil,22.1,Kroger
2016-12-09,Recreational,Entertainment,10.7,Middlebrook
2016-12-11,Recreational,Vacation,11.5,Amazon
2016-12-11,Transportation,Gas & Oil,12.2,Sams Club
2016-12-12,Food,Groceries,26.13,ALDI
2016-12-12,Debts,2014 Kia Soul,262.47,PNC
2016-12-12,Food,Restaurants,15.3,KFC
2016-12-13,Transportation,Repairs & Tires,11.22,NAPA
2016-12-13,Transportation,Gas & Oil,27.09,Kroger
2016-12-14,Transportation,Repairs & Tires,4.82,NAPA
2016-12-15,Personal,Gifts (Including Christmas),24.98,Amazon
2016-12-15,Food,Restaurants,12.91,Dave Poe
2016-12-15,Food,Restaurants,6.35,Publix
2016-12-15,Food,Restaurants,6.31,Dave Poes
2016-12-16,Personal,Gifts (Including Christmas),4.06,Target
2016-12-17,Personal,Gifts (Including Christmas),6.5,Amazon
2016-12-18,Personal,Gifts (Including Christmas),35.8,Amazon
